Type,Message,Love
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",0
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),0
ham,"No, I was trying it all weekend ;V",0
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,0
ham,Nothing just getting msgs by dis name wit different no's..,0
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you,0
ham,Oh k.k..where did you take test?,0
ham,Ok lor but not too early. Me still having project meeting now.,0
ham,Ok lor.,0
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,0
ham,Ok then i'll let him noe later n ask him call u tmr...,0
ham,Ok.ok ok..then..whats ur todays plan,0
ham,Please attend the phone:),0
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,0
ham,R u sure they'll understand that! Wine * good idea just had a slurp!,0
ham,"Sir, waiting for your letter.",0
ham,So how many days since then?,0
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,0
ham,"Sorry, I'll call later",0
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,0
ham,"That's fine, have him give me a call if he knows what he wants or has any questions",0
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,0
ham,There is a first time for everything :),0
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,0
ham,"Thursday night? Yeah, sure thing, we'll work it out then",0
ham,Thx. All will be well in a few months,0
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,0
ham,Wen did you get so spiritual and deep. That's great,0
ham,What Today-sunday..sunday is holiday..so no work..,0
ham,When you guys planning on coming over?,0
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,0
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,1
ham,Yo guess what I just dropped,0
ham,You're gonna have to be way more specific than that,0
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",0
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",0
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,0
